File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLEW\include\glew.h,19368,15125,5613,0,3563,582,680,4292,76,660
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLEW\include\glxew.h,1772,1148,391,0,476,77,148,1098,76,660
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLEW\include\wglew.h,1453,959,313,0,381,61,113,828,53,465
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLFW\include\glfw3.h,3341,448,120,0,161,18,2732,15920,27,181
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLFW\include\glfw3native.h,357,63,17,0,30,1,264,1285,27,181
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Main.cpp,89,73,53,7,11,0,5,12,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Derpy.h,88,69,45,4,14,0,5,24,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Assets\AssetManager.h,16,11,6,0,5,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Window.cpp,153,115,86,26,34,0,4,12,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Window.h,49,41,32,0,8,0,0,0,0,0
